case_id,weighting,contrast,metric,estimate,conditional_lower,conditional_upper,refit_lower,refit_upper,basic_lower,basic_upper,conditional_valid,refit_valid,conditional_width,refit_width
smolvlm_instruct__ur5fail,sample,interaction_pool6,false_success_rate,-0.00757575757575768,-0.07093465045592748,0.06307378807378815,-0.20000000000000007,0.11907142857142868,-0.13422294372294402,0.1848484848484847,2000,2000,0.1340084385297156,0.31907142857142873
smolvlm_instruct__ur5fail,sample,interaction_pool6,success_recall,-0.03809523809523785,-0.10256410256410253,0.039215686274509776,-0.2414423885618164,0.16091954022988486,-0.23711001642036056,0.1652519123713407,2000,2000,0.1417797888386123,0.4023619287917013
smolvlm_instruct__ur5fail,sample,interaction_pool3,false_success_rate,-0.11363636363636376,-0.17886178861788626,-0.04444444444444439,-0.18605221158230756,0.1555782312925171,-0.38285095856524465,-0.04122051569041996,2000,2000,0.13441734417344187,0.3416304428748247
smolvlm_instruct__ur5fail,sample,interaction_pool3,success_recall,-0.14285714285714268,-0.22857142857142865,-0.06895706558485482,-0.23809523809523792,0.2190638528138527,-0.504778138528138,-0.04761904761904745,2000,2000,0.15961436298657383,0.4571590909090906
smolvlm_instruct__reassemble_rl_transfer,sample,interaction_pool6,false_success_rate,-0.08000000000000018,-0.14199735449735468,-0.008130081300813437,-0.21931578947368455,0.14394451269451286,-0.3039445126945132,0.05931578947368418,2000,2000,0.13386727319654124,0.3632603021681974
smolvlm_instruct__reassemble_rl_transfer,sample,interaction_pool6,success_recall,-0.06451612903225978,-0.08921122978056048,-0.04234918466475821,-0.18969242734403113,0.10581251740606178,-0.23484477547058136,0.06066016927951157,2000,2000,0.04686204511580227,0.2955049447500929
smolvlm_instruct__reassemble_rl_transfer,sample,interaction_pool3,false_success_rate,-0.14000000000000012,-0.213690476190476,-0.06988934733683427,-0.2575757575757575,0.16666666666666652,-0.44666666666666677,-0.022424242424242735,2000,2000,0.1438011288536417,0.42424242424242403
smolvlm_instruct__reassemble_rl_transfer,sample,interaction_pool3,success_recall,-0.13092979127134896,-0.1596988558431861,-0.10498566151453291,-0.21941077629662895,0.1284855786783494,-0.39034516122104734,-0.042448806246068976,2000,2000,0.054713194328653195,0.34789635497497834
