condition,metric,point_sd_pp,evaluation_error_sd_pp,development_policy_sd_pp,covariance_uv_pp2,development_variance_fraction,covariance_T_d_pp2,covariance_evaluation_d_pp2,covariance_development_d_pp2,correlation_evaluation_d,correlation_development_d
RF_H_C,FSR,3.0274329546703354,2.950343003464376,0.7217304893679136,-0.030034221175244433,0.056833059568498094,-1.196518029666401,-1.1403398365160295,-0.05617819315037147,-0.37110901472238994,-0.07473644432579839
RF_H_C,recall,0.9998209362740869,0.8632669715653858,0.5015186471918478,0.0014455434675889783,0.251611054239236,-0.08813961963870888,-0.07004031218486505,-0.018099307453843822,-0.2658110769499324,-0.11823471236664646
RF_H_Q125,FSR,3.046911724933134,2.7691045967714487,1.367498844391199,-0.12716114886851249,0.20143465633571583,-2.389221516037364,-0.9616485935276226,-1.427572922509741,-0.2174017601476997,-0.6535176925236253
RF_H_Q125,recall,1.254452620548966,0.8083552107445294,0.9792327699972724,-0.019341793686097813,0.6093451394179671,-0.7979576826128111,-0.035875605008272346,-0.7620820776045389,-0.04808052023376879,-0.8431172519361763
NE_H_C,FSR,5.852862406852723,2.0832225783676805,5.487840392548187,-0.1001050657772391,0.8791567498123308,-14.11642077290502,-1.6285890796986733,-12.487831693206344,-0.23384563850735254,-0.6806737377030524
NE_H_C,recall,3.877052317806464,1.8665366685934768,3.3501442256872775,0.16205460344931677,0.7466613739424768,-6.088533552165908,-1.553555190476716,-4.534978361689189,-0.3529964321042096,-0.5741057158938468
