Application,Bare interaction,Space interaction,Paired space−bare change
RLBench,"-1.328 [-7.946, 5.827]","-6.640 [-15.060, 4.989]","-5.312 [-16.059, 7.463]"
UR5 transfer,"-0.758 [-20.000, 11.907]","-24.242 [-49.339, 0.000]","-23.485 [-51.757, 3.616]"
REASSEMBLE local,"2.000 [-1.678, 11.310]","4.000 [-3.270, 10.606]","2.000 [-8.642, 7.639]"
RLBench→REASSEMBLE,"-8.000 [-21.932, 14.394]","-14.000 [-40.301, 10.081]","-6.000 [-38.600, 16.098]"
